ID,Example,Synset Members,Not a problem,New Member,New Definition
ewn-02479111-v,"""he shot down the student's proposal""","defeat, get the better of, vote down, kill, vote out, overcome, overcame, shoot down",,,
ewn-02479791-s,"""I soon tumbled to the fact that my weekends were atypical""","unrepresentative",,,
ewn-02480739-s,"""surface instruments for detecting oil deposits""","aboveground",,,
ewn-02480739-s,"""surface transportation""","aboveground",,,
ewn-02481859-s,"""a subsurface flow of water""","subterraneous, subterranean",,,
ewn-02486112-s,"""United Industries""","consolidated, fused, coalesced, amalgamated, amalgamate",,,
ewn-02506138-v,"""I really caught it the other day!""","catch it",,,
ewn-02512927-v,"""He could not bring himself to call his parents""","bring oneself",,,
ewn-02513039-s,"""piffling efforts""","paltry, paltrier, paltriest, measly, measlier, measliest, miserable, trifling, negligible",,,
ewn-02526050-s,"""kept the monkey in view""","in sight",,,
ewn-02528530-v,"""She succeeded in persuading us all""","carry off, bring off, bear off, extinguish, decimate, annihilate, eradicate, manage, carry away, negociate, bear away, wipe out, take away, eliminate, pull off",,,
ewn-02530749-s,"""the insult was intentional""","willful, wilful",,,
ewn-02540879-s,"""a cooling breeze""","caller",,,
ewn-02541648-s,"""gave us a cordial reception""","hearty, heartier, heartiest, full-blooded, lusty, lustier, lustiest, red-blooded",,,
ewn-02547838-v,"""He represents the Government's position""","speak for",,,
ewn-02550478-v,"""the cyclist went for broke at the end of the race""","go for broke",,,
ewn-02566914-v,"""The new members brought to bear new concerns to the U.N.""","bring to bear",,,
ewn-02579294-s,"""wired hotel rooms""","bugged",,,
ewn-02581841-s,"""a vacant expression""","vacuous, hollow, mindless, empty, emptier, emptiest",,,
ewn-02597327-v,"""He took up herpetology at the age of fifty""","take up",,,
ewn-02603965-v,"""Please remember yourself, Charles!""","remember oneself",,,
ewn-02606776-v,"""She took to drink""","take to",,,
ewn-02644290-v,"""She kicked her heels for hours at the gate of the Embassy""","cool one's heels, kick one's heels",,,
ewn-02652685-v,"""It's too bad he got fired, but he sure had it coming""","have it coming",,,
ewn-02661794-v,"""Keep your distance from this man--he is dangerous""","stay away, keep one's distance, keep one's hands off, keep one's eyes off, stand back",,,
ewn-02661794-v,"""Keep your hands off my wife!""","stay away, keep one's distance, keep one's hands off, keep one's eyes off, stand back",,,
ewn-02669721-v,"""What's this new evidence based on?""","build on, build upon, rest on, repose on",,,
ewn-02732260-v,"""He just stood by when the police beat up the demonstrators""","stand by",,,
ewn-02746734-v,"""He can hold his own in graduate school""","hold one's own",,,
ewn-02766097-v,"""Lightening set fire to the forest""","set on fire, set ablaze, set aflame, set afire",,,
ewn-02768257-v,"""Some life-forms were obliterated by the radiation, others survived""","black out, pass out, blacken out, zonk out",,,
ewn-02770080-v,"""The sky lit up quickly above the raging volcano""","light up",,,
ewn-02779730-a,"""noun phrase""","nominal",,,
ewn-02854380-a,"""marriage vows""","nuptial, bridal, spousal",,,
ewn-02854380-a,"""wedding cake""","nuptial, bridal, spousal",,,
ewn-02943799-a,"""epithelial tissue""","epitheliod",,,
ewn-03066148-a,"""Chad soldiers""","Chadian",,,
ewn-03123845-a,"""a Gypsy fortune-teller""","Romany, Romani",,,
ewn-04331258-n,"""friendliness is the salesman's stock in trade""","stock-in-trade",,,
ewn-04502605-n,"""the swagman filled his tuckerbag""","tucker-bag",,,
ewn-04624919-n,"""it is his nature to help others""","personality",,,
ewn-04656223-n,"""her mood changed and she was all lightness and joy""","flippancy, light-mindedness",,,
ewn-05126667-n,"""we received an inundation of email""","overmuch, overabundance, superabundance, overmuchness",,,
ewn-05210475-n,"""the job is executable for two million dollars""","executability",,,
ewn-05210475-n,"""this contract is not executable""","executability",,,
ewn-05590808-n,"""skin from his thigh replaced the burned skin on his arms""","autograft, autoplasty",,,
ewn-05848940-n,"""problems of this type are very difficult to solve""","nature",,,
ewn-05966780-n,"""Whatsoever ye would that men do unto you, do you even so unto them"" (Matthew 7:12)","Golden Rule",,,
ewn-06658221-n,"""the structure of the iris is very distinctive""","iris scanning",,,
ewn-06680537-n,"""a code of laws""","legal code",,,
ewn-06975822-n,"""Latin is a language as dead as dead can be. It killed the ancient Romans--and now it's killing me""","classical Latin",,,
ewn-07105279-n,"""a tiny little child""","pleonasm",,,
ewn-07111760-n,"""around the rock the ragged rascal ran""","initial rhyme, beginning rhyme, head rhyme, alliteration",,,
ewn-07115188-n,"""My own heart's heart""","polyptoton",,,
ewn-07117468-n,"""O tempore! O mores""","exclamation, ecphonesis, exclaiming",,,
ewn-07117924-n,"""Seems, madam! Nay, it is""","epanorthosis",,,
ewn-07219968-n,"""I don't never go""","double negative",,,
ewn-07220099-n,"""A not unwelcome outcome""","double negative",,,
ewn-08129062-n,"""they formed a community of scientists""","profession",,,
ewn-08307077-n,"""by 800 BC the entire Aegean had adopted this style of pottery""","Aegean civilization, Aegean culture, Aegean civilisation",,,
ewn-09204011-n,"""his first impulse was to denounce them""","irrational impulse",,,
ewn-09204011-n,"""the urge to find out got him into trouble""","irrational impulse",,,
ewn-09548621-n,"""the fierce""","Chandi",,,
ewn-09549837-n,"""the black""","Kali",,,
ewn-09563440-n,"""angel of death""","divine messenger",,,
ewn-10199809-n,"""they held two hostages""","holder",,,
ewn-13355507-n,"""sell holdings he has in corporations""","stockholdings, stockholding",,,
ewn-13484458-n,"""the patient was desensitized to the allergen""","desensitisation, desensitization",,,
ewn-13618390-n,"""one hour and ten minutes""","compound number",,,
ewn-13932904-n,"""a shapeless mass""","shapelessness",,,
ewn-14018633-n,"""the new freedom in movies and novels""","latitude",,,
ewn-14396987-n,"""a manic state""","mental state, psychological state, mental condition, psychological condition",,,
ewn-14534003-n,"""carbon monoxide combines with hemoglobin and displaces oxygen in the blood""","carbon monoxide poisoning",,,
ewn-14539418-n,"""the general of the Jesuits has several provinces under him""","ecclesiastical province",,,
ewn-14589277-n,"""hemophilia is determined by a gene defect on an X chromosome""","sex-linked disorder",,,
